iter,x,y,f_xy,grad_norm,lambda
0,1.0000000000,1.0000000000,5.0000000000,8.9442719100,0.1136363636
1,0.0909090909,0.5454545455,0.4545454545,2.4393468845,0.1923076923
2,0.3006993007,0.1258741259,-0.1176096631,1.1258524083,0.1136363636
3,0.1862682772,0.0686586141,-0.1896291884,0.3070506568,0.1923076923
4,0.2126754365,0.0158442956,-0.1986945831,0.1417156878,0.1136363636
5,0.1982715314,0.0086423430,-0.1998356818,0.0386497330,0.1923076923
6,0.2015955095,0.0019943869,-0.1999793166,0.0178383383,0.1136363636
7,0.1997824305,0.0010878474,-0.1999973965,0.0048650014,0.1923076923
8,0.2002008334,0.0002510417,-0.1999996723,0.0022453852,0.1136363636
9,0.1999726136,0.0001369318,-0.1999999587,0.0006123778,0.1923076923
10,0.2000252797,0.0000315997,-0.1999999948,0.0002826359,0.1136363636
11,0.1999965528,0.0000172362,-0.1999999993,0.0000770825,0.0000000000
