# x	Analytical	Spline
1.000000	-0.000584	-0.000584
1.001500	-0.002759	-0.002758
1.003000	-0.004935	-0.004932
1.004500	-0.007111	-0.007106
1.006000	-0.009287	-0.009280
1.007500	-0.011462	-0.011454
1.009000	-0.013638	-0.013628
1.010500	-0.015814	-0.015802
1.012000	-0.017989	-0.017976
1.013500	-0.020164	-0.020149
1.015000	-0.022340	-0.022323
1.016500	-0.024515	-0.024496
1.018000	-0.026690	-0.026670
1.019500	-0.028865	-0.028843
1.021000	-0.031039	-0.031016
1.022500	-0.033214	-0.033189
1.024000	-0.035388	-0.035362
1.025500	-0.037562	-0.037534
1.027000	-0.039736	-0.039706
1.028500	-0.041910	-0.041878
1.030000	-0.044083	-0.044050
1.031500	-0.046257	-0.046222
1.033000	-0.048429	-0.048393
1.034500	-0.050602	-0.050565
1.036000	-0.052775	-0.052735
1.037500	-0.054947	-0.054906
1.039000	-0.057119	-0.057076
1.040500	-0.059290	-0.059246
1.042000	-0.061461	-0.061416
1.043500	-0.063632	-0.063585
1.045000	-0.065802	-0.065754
1.046500	-0.067973	-0.067923
1.048000	-0.070142	-0.070091
1.049500	-0.072312	-0.072259
1.051000	-0.074481	-0.074427
1.052500	-0.076649	-0.076594
1.054000	-0.078817	-0.078761
1.055500	-0.080985	-0.080927
1.057000	-0.083152	-0.083093
1.058500	-0.085319	-0.085258
1.060000	-0.087485	-0.087423
1.061500	-0.089651	-0.089588
1.063000	-0.091816	-0.091752
1.064500	-0.093981	-0.093915
1.066000	-0.096145	-0.096078
1.067500	-0.098309	-0.098241
1.069000	-0.100472	-0.100403
1.070500	-0.102635	-0.102564
1.072000	-0.104797	-0.104725
1.073500	-0.106958	-0.106885
1.075000	-0.109119	-0.109045
1.076500	-0.111279	-0.111204
1.078000	-0.113439	-0.113363
1.079500	-0.115598	-0.115521
1.081000	-0.117756	-0.117678
1.082500	-0.119914	-0.119835
1.084000	-0.122071	-0.121991
1.085500	-0.124228	-0.124146
1.087000	-0.126383	-0.126301
1.088500	-0.128538	-0.128455
1.090000	-0.130692	-0.130608
1.091500	-0.132846	-0.132761
1.093000	-0.134999	-0.134913
1.094500	-0.137151	-0.137064
1.096000	-0.139302	-0.139214
1.097500	-0.141453	-0.141364
1.099000	-0.143602	-0.143513
1.100500	-0.145751	-0.145661
1.102000	-0.147899	-0.147808
1.103500	-0.150047	-0.149955
1.105000	-0.152193	-0.152101
1.106500	-0.154339	-0.154245
1.108000	-0.156484	-0.156390
1.109500	-0.158627	-0.158533
1.111000	-0.160770	-0.160675
1.112500	-0.162913	-0.162817
1.114000	-0.165054	-0.164957
1.115500	-0.167194	-0.167097
1.117000	-0.169333	-0.169236
1.118500	-0.171472	-0.171374
1.120000	-0.173609	-0.173511
1.121500	-0.175746	-0.175647
1.123000	-0.177881	-0.177782
1.124500	-0.180016	-0.179916
1.126000	-0.182150	-0.182049
1.127500	-0.184282	-0.184182
1.129000	-0.186414	-0.186313
1.130500	-0.188544	-0.188443
1.132000	-0.190673	-0.190572
1.133500	-0.192802	-0.192700
1.135000	-0.194929	-0.194827
1.136500	-0.197055	-0.196953
1.138000	-0.199180	-0.199078
1.139500	-0.201304	-0.201202
1.141000	-0.203427	-0.203325
1.142500	-0.205549	-0.205446
1.144000	-0.207670	-0.207567
1.145500	-0.209789	-0.209686
1.147000	-0.211908	-0.211805
1.148500	-0.214025	-0.213922
1.150000	-0.216141	-0.216038
1.151500	-0.218255	-0.218153
1.153000	-0.220369	-0.220266
1.154500	-0.222481	-0.222379
1.156000	-0.224592	-0.224490
1.157500	-0.226702	-0.226600
1.159000	-0.228811	-0.228709
1.160500	-0.230918	-0.230816
1.162000	-0.233024	-0.232922
1.163500	-0.235129	-0.235027
1.165000	-0.237232	-0.237131
1.166500	-0.239334	-0.239233
1.168000	-0.241435	-0.241334
1.169500	-0.243534	-0.243434
1.171000	-0.245632	-0.245533
1.172500	-0.247729	-0.247630
1.174000	-0.249824	-0.249726
1.175500	-0.251918	-0.251820
1.177000	-0.254011	-0.253913
1.178500	-0.256102	-0.256005
1.180000	-0.258191	-0.258095
1.181500	-0.260280	-0.260184
1.183000	-0.262367	-0.262271
1.184500	-0.264452	-0.264357
1.186000	-0.266536	-0.266442
1.187500	-0.268618	-0.268525
1.189000	-0.270699	-0.270606
1.190500	-0.272779	-0.272686
1.192000	-0.274856	-0.274765
1.193500	-0.276933	-0.276842
1.195000	-0.279008	-0.278918
1.196500	-0.281081	-0.280992
1.198000	-0.283153	-0.283064
